TAX_ID,NAME,STATUS,FILING,YEAR,BALANCE,AUDIT
IRS-10482,JOHN MERCER,ACTIVE,SINGLE,2025,"$4,281.17",NO
IRS-27194,SARAH WHITMORE,ACTIVE,JOINT,2025,"$0.00",NO
IRS-39017,DANIEL KESSLER,DELINQUENT,SINGLE,2024,"$18,492.63",YES
IRS-44102,EMILY CARTER,ACTIVE,JOINT,2025,"$1,204.88",NO
IRS-58391,MICHAEL VOSS,UNDER REVIEW,SINGLE,2025,"$7,831.44",YES
IRS-62470,RACHEL DONOVAN,ACTIVE,SINGLE,2025,"$0.00",NO
IRS-71835,JONATHAN REEVES,DELINQUENT,JOINT,2024,"$26,104.92",YES
IRS-82941,ELENA MARKOVIC,ACTIVE,SINGLE,2025,"$3,918.52",NO
IRS-91376,THOMAS CALDWELL,ACTIVE,JOINT,2025,"$842.19",NO
IRS-10584,REBECCA SLOAN,UNDER REVIEW,SINGLE,2024,"$12,671.03",YES
IRS-11729,VICTOR ANTONOV,DELINQUENT,SINGLE,2023,"$41,883.76",YES
IRS-12845,NAOMI ELLIS,ACTIVE,JOINT,2025,"$0.00",NO
IRS-99999,TOM HANKS,DELINQUINT,SINGLE,2007,9999.99,YRES
